,1-1.java,1-2.java,1-3.java,1-4.java,1-5.java,2-1.java,2-2.java,2-3.java,2-4.java,2-5.java,3-1.java,3-2.java,3-3.java,3-4.java,3-5.java,4-1.java,4-2.java,4-3.java,4-4.java,4-5.java
1-1.java,1.0,0.9910714285714286,0.9716859716859717,0.9730423620025674,0.8467532467532467,0.17985611510791366,0.18410041841004185,0.1623931623931624,0.1520912547528517,0.17557251908396945,0.13479623824451412,0.12732919254658384,0.1377049180327869,0.15960912052117263,0.15822784810126583,0.17374517374517376,0.21825396825396826,0.16216216216216217,0.2181208053691275,0.16216216216216217
1-2.java,0.9910714285714286,1.0,0.9626769626769627,0.9640564826700898,0.8376623376623377,0.19424460431654678,0.200836820083682,0.17094017094017094,0.16730038022813687,0.19083969465648856,0.14420062695924765,0.13354037267080746,0.14426229508196722,0.16938110749185667,0.16772151898734178,0.18146718146718147,0.2261904761904762,0.16988416988416988,0.23825503355704697,0.16988416988416988
1-3.java,0.9716859716859717,0.9626769626769627,1.0,0.9407979407979408,0.8324675324675325,0.17625899280575538,0.1799163179916318,0.1623931623931624,0.1482889733840304,0.1717557251908397,0.13479623824451412,0.12732919254658384,0.1377049180327869,0.15960912052117263,0.15822784810126583,0.17374517374517376,0.2222222222222222,0.16988416988416988,0.2181208053691275,0.16988416988416988
1-4.java,0.9730423620025674,0.9640564826700898,0.9407979407979408,1.0,0.8324675324675325,0.18345323741007194,0.18828451882845187,0.16666666666666666,0.1520912547528517,0.17557251908396945,0.13479623824451412,0.12732919254658384,0.13442622950819672,0.15960912052117263,0.15822784810126583,0.16216216216216217,0.21031746031746032,0.15444015444015444,0.2080536912751678,0.14671814671814673
1-5.java,0.8467532467532467,0.8376623376623377,0.8324675324675325,0.8324675324675325,1.0,0.18345323741007194,0.18410041841004185,0.1623931623931624,0.1520912547528517,0.17557251908396945,0.14106583072100312,0.13354037267080746,0.14098360655737704,0.16286644951140064,0.17405063291139242,0.18146718146718147,0.2261904761904762,0.17374517374517376,0.2214765100671141,0.16602316602316602
2-1.java,0.17985611510791366,0.19424460431654678,0.17625899280575538,0.18345323741007194,0.18345323741007194,1.0,0.6443514644351465,0.6923076923076923,0.7224334600760456,0.8816793893129771,0.09352517985611511,0.06115107913669065,0.07194244604316546,0.10431654676258993,0.1223021582733813,0.11583011583011583,0.1111111111111111,0.10810810810810811,0.10071942446043165,0.1274131274131274
2-2.java,0.18410041841004185,0.200836820083682,0.1799163179916318,0.18828451882845187,0.18410041841004185,0.6443514644351465,1.0,0.6111111111111112,0.6778242677824268,0.6150627615062761,0.07531380753138076,0.09205020920502092,0.08786610878661087,0.0794979079497908,0.09205020920502092,0.07112970711297072,0.08368200836820083,0.07112970711297072,0.09623430962343096,0.11297071129707113
2-3.java,0.1623931623931624,0.17094017094017094,0.1623931623931624,0.16666666666666666,0.1623931623931624,0.6923076923076923,0.6111111111111112,1.0,0.6538461538461539,0.5726495726495726,0.09829059829059829,0.08974358974358974,0.09829059829059829,0.09829059829059829,0.1111111111111111,0.09401709401709402,0.08547008547008547,0.09401709401709402,0.08974358974358974,0.1282051282051282
2-4.java,0.1520912547528517,0.16730038022813687,0.1482889733840304,0.1520912547528517,0.1520912547528517,0.7224334600760456,0.6778242677824268,0.6538461538461539,1.0,0.6106870229007634,0.06463878326996197,0.07604562737642585,0.09505703422053231,0.06844106463878327,0.07984790874524715,0.09266409266409266,0.08333333333333333,0.08108108108108109,0.09885931558935361,0.1274131274131274
2-5.java,0.17557251908396945,0.19083969465648856,0.1717557251908397,0.17557251908396945,0.17557251908396945,0.8816793893129771,0.6150627615062761,0.5726495726495726,0.6106870229007634,1.0,0.09923664122137404,0.05725190839694656,0.07633587786259542,0.11068702290076336,0.13740458015267176,0.07722007722007722,0.09126984126984126,0.06563706563706563,0.0916030534351145,0.10424710424710425
3-1.java,0.13479623824451412,0.14420062695924765,0.13479623824451412,0.13479623824451412,0.14106583072100312,0.09352517985611511,0.07531380753138076,0.09829059829059829,0.06463878326996197,0.09923664122137404,1.0,0.47962382445141066,0.740983606557377,0.752442996742671,0.5316455696202531,0.05405405405405406,0.05555555555555555,0.04247104247104247,0.087248322147651,0.06177606177606178
3-2.java,0.12732919254658384,0.13354037267080746,0.12732919254658384,0.12732919254658384,0.13354037267080746,0.06115107913669065,0.09205020920502092,0.08974358974358974,0.07604562737642585,0.05725190839694656,0.47962382445141066,1.0,0.639344262295082,0.3583061889250814,0.33860759493670883,0.05791505791505792,0.08333333333333333,0.0694980694980695,0.087248322147651,0.09266409266409266
3-3.java,0.1377049180327869,0.14426229508196722,0.1377049180327869,0.13442622950819672,0.14098360655737704,0.07194244604316546,0.08786610878661087,0.09829059829059829,0.09505703422053231,0.07633587786259542,0.740983606557377,0.639344262295082,1.0,0.5049180327868853,0.4459016393442623,0.04633204633204633,0.05952380952380952,0.05019305019305019,0.08053691275167785,0.11196911196911197
3-4.java,0.15960912052117263,0.16938110749185667,0.15960912052117263,0.15960912052117263,0.16286644951140064,0.10431654676258993,0.0794979079497908,0.09829059829059829,0.06844106463878327,0.11068702290076336,0.752442996742671,0.3583061889250814,0.5049180327868853,1.0,0.498371335504886,0.05791505791505792,0.05555555555555555,0.04247104247104247,0.09060402684563758,0.06563706563706563
3-5.java,0.15822784810126583,0.16772151898734178,0.15822784810126583,0.15822784810126583,0.17405063291139242,0.1223021582733813,0.09205020920502092,0.1111111111111111,0.07984790874524715,0.13740458015267176,0.5316455696202531,0.33860759493670883,0.4459016393442623,0.498371335504886,1.0,0.07335907335907337,0.08333333333333333,0.04633204633204633,0.11409395973154363,0.10038610038610038
4-1.java,0.17374517374517376,0.18146718146718147,0.17374517374517376,0.16216216216216217,0.18146718146718147,0.11583011583011583,0.07112970711297072,0.09401709401709402,0.09266409266409266,0.07722007722007722,0.05405405405405406,0.05791505791505792,0.04633204633204633,0.05791505791505792,0.07335907335907337,1.0,0.5277777777777778,0.667953667953668,0.5791505791505791,0.6872586872586872
4-2.java,0.21825396825396826,0.2261904761904762,0.2222222222222222,0.21031746031746032,0.2261904761904762,0.1111111111111111,0.08368200836820083,0.08547008547008547,0.08333333333333333,0.09126984126984126,0.05555555555555555,0.08333333333333333,0.05952380952380952,0.05555555555555555,0.08333333333333333,0.5277777777777778,1.0,0.5595238095238095,0.38095238095238093,0.4007936507936508
4-3.java,0.16216216216216217,0.16988416988416988,0.16988416988416988,0.15444015444015444,0.17374517374517376,0.10810810810810811,0.07112970711297072,0.09401709401709402,0.08108108108108109,0.06563706563706563,0.04247104247104247,0.0694980694980695,0.05019305019305019,0.04247104247104247,0.04633204633204633,0.667953667953668,0.5595238095238095,1.0,0.40540540540540543,0.5135135135135135
4-4.java,0.2181208053691275,0.23825503355704697,0.2181208053691275,0.2080536912751678,0.2214765100671141,0.10071942446043165,0.09623430962343096,0.08974358974358974,0.09885931558935361,0.0916030534351145,0.087248322147651,0.087248322147651,0.08053691275167785,0.09060402684563758,0.11409395973154363,0.5791505791505791,0.38095238095238093,0.40540540540540543,1.0,0.47876447876447875
4-5.java,0.16216216216216217,0.16988416988416988,0.16988416988416988,0.14671814671814673,0.16602316602316602,0.1274131274131274,0.11297071129707113,0.1282051282051282,0.1274131274131274,0.10424710424710425,0.06177606177606178,0.09266409266409266,0.11196911196911197,0.06563706563706563,0.10038610038610038,0.6872586872586872,0.4007936507936508,0.5135135135135135,0.47876447876447875,1.0
