,11.py,12.py,13.py,14.py,15.py,21.py,22.py,23.py,24.py,25.py,31.py,32.py,33.py,34.py,35.py,41.py,42.py,43.py,44.py,45.py
11.py,1.0,0.7792207792207793,0.8516746411483254,0.8363636363636363,0.8874458874458875,0.03463203463203463,0.04329004329004329,0.03463203463203463,0.03463203463203463,0.03896103896103896,0.0053475935828877,0.005376344086021506,0.010309278350515464,0.007633587786259542,0.0,0.004405286343612335,0.0136986301369863,0.004347826086956522,0.0045871559633027525,0.008658008658008658
12.py,0.7792207792207793,1.0,0.7990430622009569,0.8090909090909091,0.8577586206896551,0.037815126050420166,0.046218487394957986,0.04201680672268908,0.037815126050420166,0.04201680672268908,0.0053475935828877,0.005376344086021506,0.010309278350515464,0.007633587786259542,0.0,0.004405286343612335,0.0091324200913242,0.004347826086956522,0.0045871559633027525,0.008403361344537815
13.py,0.8516746411483254,0.7990430622009569,1.0,0.8038277511961722,0.9473684210526315,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0430622009569378,0.04784688995215311,0.0053475935828877,0.005376344086021506,0.010309278350515464,0.007633587786259542,0.0,0.004784688995215311,0.014354066985645933,0.004784688995215311,0.004784688995215311,0.009569377990430622
14.py,0.8363636363636363,0.8090909090909091,0.8038277511961722,1.0,0.9090909090909091,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.02727272727272727,0.02727272727272727,0.0053475935828877,0.005376344086021506,0.010309278350515464,0.007633587786259542,0.0,0.004545454545454545,0.0136986301369863,0.004545454545454545,0.0045871559633027525,0.00909090909090909
15.py,0.8874458874458875,0.8577586206896551,0.9473684210526315,0.9090909090909091,1.0,0.04741379310344827,0.04741379310344827,0.04741379310344827,0.03879310344827586,0.04310344827586207,0.0053475935828877,0.005376344086021506,0.010309278350515464,0.007633587786259542,0.0,0.004405286343612335,0.0136986301369863,0.004347826086956522,0.0045871559633027525,0.008620689655172414
21.py,0.03463203463203463,0.037815126050420166,0.05263157894736842,0.03636363636363636,0.04741379310344827,1.0,0.9360902255639098,0.8923076923076924,0.8996138996138996,0.8301886792452831,0.08021390374331551,0.07526881720430108,0.06701030927835051,0.09923664122137404,0.07692307692307693,0.21145374449339208,0.1598173515981735,0.17391304347826086,0.1651376146788991,0.19327731092436976
22.py,0.04329004329004329,0.046218487394957986,0.05263157894736842,0.03636363636363636,0.04741379310344827,0.9360902255639098,1.0,0.8730769230769231,0.8687258687258688,0.7886792452830189,0.08021390374331551,0.07526881720430108,0.06701030927835051,0.09923664122137404,0.07692307692307693,0.20704845814977973,0.1643835616438356,0.17391304347826086,0.16055045871559634,0.19327731092436976
23.py,0.03463203463203463,0.04201680672268908,0.05263157894736842,0.03636363636363636,0.04741379310344827,0.8923076923076924,0.8730769230769231,1.0,0.7915057915057915,0.7461538461538462,0.0748663101604278,0.07526881720430108,0.06701030927835051,0.0916030534351145,0.07100591715976332,0.2026431718061674,0.1598173515981735,0.16521739130434782,0.1651376146788991,0.18907563025210083
24.py,0.03463203463203463,0.037815126050420166,0.0430622009569378,0.02727272727272727,0.03879310344827586,0.8996138996138996,0.8687258687258688,0.7915057915057915,1.0,0.7722007722007722,0.0855614973262032,0.07526881720430108,0.07216494845360824,0.10687022900763359,0.08284023668639054,0.21145374449339208,0.1689497716894977,0.1782608695652174,0.16055045871559634,0.19327731092436976
25.py,0.03896103896103896,0.04201680672268908,0.04784688995215311,0.02727272727272727,0.04310344827586207,0.8301886792452831,0.7886792452830189,0.7461538461538462,0.7722007722007722,1.0,0.06417112299465241,0.06451612903225806,0.061855670103092786,0.0916030534351145,0.07100591715976332,0.17180616740088106,0.1415525114155251,0.13478260869565217,0.14678899082568808,0.15546218487394958
31.py,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.08021390374331551,0.08021390374331551,0.0748663101604278,0.0855614973262032,0.06417112299465241,1.0,0.7043010752688172,0.7058823529411765,0.8015267175572519,0.6686390532544378,0.0962566844919786,0.053475935828877004,0.09090909090909091,0.0481283422459893,0.0962566844919786
32.py,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.07526881720430108,0.07526881720430108,0.07526881720430108,0.07526881720430108,0.06451612903225806,0.7043010752688172,1.0,0.6021505376344086,0.5725190839694656,0.5266272189349113,0.08064516129032258,0.04838709677419355,0.07526881720430108,0.053763440860215055,0.08064516129032258
33.py,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.07216494845360824,0.061855670103092786,0.7058823529411765,0.6021505376344086,1.0,0.6641221374045801,0.47337278106508873,0.061855670103092786,0.05670103092783505,0.05670103092783505,0.04639175257731959,0.061855670103092786
34.py,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.09923664122137404,0.09923664122137404,0.0916030534351145,0.10687022900763359,0.0916030534351145,0.8015267175572519,0.5725190839694656,0.6641221374045801,1.0,0.48854961832061067,0.12213740458015267,0.06870229007633588,0.11450381679389313,0.06870229007633588,0.12213740458015267
35.py,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07100591715976332,0.08284023668639054,0.07100591715976332,0.6686390532544378,0.5266272189349113,0.47337278106508873,0.48854961832061067,1.0,0.07100591715976332,0.05917159763313609,0.0650887573964497,0.05325443786982249,0.0650887573964497
41.py,0.004405286343612335,0.004405286343612335,0.004784688995215311,0.004545454545454545,0.004405286343612335,0.21145374449339208,0.20704845814977973,0.2026431718061674,0.21145374449339208,0.17180616740088106,0.0962566844919786,0.08064516129032258,0.061855670103092786,0.12213740458015267,0.07100591715976332,1.0,0.6575342465753424,0.73568281938326,0.6559633027522935,0.8414096916299559
42.py,0.0136986301369863,0.0091324200913242,0.014354066985645933,0.0136986301369863,0.0136986301369863,0.1598173515981735,0.1643835616438356,0.1598173515981735,0.1689497716894977,0.1415525114155251,0.053475935828877004,0.04838709677419355,0.05670103092783505,0.06870229007633588,0.05917159763313609,0.6575342465753424,1.0,0.6210045662100456,0.6146788990825688,0.7625570776255708
43.py,0.004347826086956522,0.004347826086956522,0.004784688995215311,0.004545454545454545,0.004347826086956522,0.17391304347826086,0.17391304347826086,0.16521739130434782,0.1782608695652174,0.13478260869565217,0.09090909090909091,0.07526881720430108,0.05670103092783505,0.11450381679389313,0.0650887573964497,0.73568281938326,0.6210045662100456,1.0,0.6513761467889908,0.7782608695652173
44.py,0.0045871559633027525,0.0045871559633027525,0.004784688995215311,0.0045871559633027525,0.0045871559633027525,0.1651376146788991,0.16055045871559634,0.1651376146788991,0.16055045871559634,0.14678899082568808,0.0481283422459893,0.053763440860215055,0.04639175257731959,0.06870229007633588,0.05325443786982249,0.6559633027522935,0.6146788990825688,0.6513761467889908,1.0,0.7247706422018348
45.py,0.008658008658008658,0.008403361344537815,0.009569377990430622,0.00909090909090909,0.008620689655172414,0.19327731092436976,0.19327731092436976,0.18907563025210083,0.19327731092436976,0.15546218487394958,0.0962566844919786,0.08064516129032258,0.061855670103092786,0.12213740458015267,0.0650887573964497,0.8414096916299559,0.7625570776255708,0.7782608695652173,0.7247706422018348,1.0
